Title,Year,Publisher,Genre,Console
Adventures of Yogi Bear,1994,"Cybersoft, Inc., Magifact",Action,Super Nintendo Entertainment System
Aerobiz,1992,"KOEI Co., Ltd., KOEI Corporation",Strategy / tactics,Super Nintendo Entertainment System
Aerobiz Supersonic,1993,"KOEI Co., Ltd., KOEI Corporation","Simulation, Strategy / tactics",Super Nintendo Entertainment System
Aero Fighters,1993,"McO'RIVER Inc., Video System Co., Ltd.",Action,Super Nintendo Entertainment System
Aero the Acro-Bat,1993,"Playtronic Industrial Ltda., Sun Electronics Corp., Sun Corporation of America",Action,Super Nintendo Entertainment System
Aero the Acro-Bat 2,1994,"Sun Corporation, Sun Corporation of America",Action,Super Nintendo Entertainment System
Air Cavalry,1995,"Cybersoft, Inc.",Action,Super Nintendo Entertainment System
Albert Odyssey,1993,Sun Electronics Corp.,"Role-Playing (RPG), Strategy / tactics",Super Nintendo Entertainment System
Alcahest,1993,"Square Co., Ltd.","Action, Role-Playing (RPG)",Super Nintendo Entertainment System
Alien³,1993,"Acclaim Japan, Ltd., LJN, Ltd., Playtronic Industrial Ltda.",Action,Super Nintendo Entertainment System
Alien Vs Predator,1993,"Activision, Inc., IGS Corp.",Action,Super Nintendo Entertainment System
Al Unser Jr.'s Road to the Top ,1994,"Software Toolworks, Inc., The","Action, Racing / driving",Super Nintendo Entertainment System
The Amazing Spider-Man: Lethal Foes,1995,"Epoch Co., Ltd.",Action,Super Nintendo Entertainment System
American Gladiators,1993,"GameTek, Inc.","Action, Simulation",Super Nintendo Entertainment System
An American Tail: Fievel Goes West,1994,"Hudson Soft Company, Ltd.",Action,Super Nintendo Entertainment System
Andre Agassi Tennis,1993,"Nihon Bussan Co., Ltd., Radiance Software",Sports,Super Nintendo Entertainment System
Angelique,1994,"KOEI Co., Ltd.","Adventure, Strategy / tactics",Super Nintendo Entertainment System
Animaniacs,1994,"Konami Co., Ltd., Konami (America), Inc., Playtronic Industrial Ltda.",Action,Super Nintendo Entertainment System
Arabian Nights: Sabaku no Seirei-?,1996,"TAKARA Co., Ltd.",Role-Playing (RPG),Super Nintendo Entertainment System
Araiguma Rascal,1994,"Masaya, NCS Corporation",Puzzle,Super Nintendo Entertainment System
Arcade's Greatest Hits: The Atari Collection 1,1997,"Midway Home Entertainment, Inc.",Compilation,Super Nintendo Entertainment System
Arcana,1992,"HAL America Inc., HAL Laboratory, Inc.",Role-Playing (RPG),Super Nintendo Entertainment System
Arcus Odyssey,1993,Sammy Corporation,Action,Super Nintendo Entertainment System
Ardy Lightfoot,1993,"ASCII Corporation, Playtronic Industrial Ltda., Titus France SA",Action,Super Nintendo Entertainment System
Aretha,1993,Yanoman Corporation,Role-Playing (RPG),Super Nintendo Entertainment System
Aretha II: Ariel no Fushigi na Tabi,1994,Yanoman Corporation,Role-Playing (RPG),Super Nintendo Entertainment System
Arkanoid: Doh It Again,1997,"Nintendo of America Inc., Taito Corporation",Action,Super Nintendo Entertainment System
Art of Fighting,1993,"K. Amusement Leasing Co., TAKARA Co., Ltd., TAKARA U.S.A. CORP.",Action,Super Nintendo Entertainment System
Art of Fighting 2,1994,"Saurus Co., Ltd.",Action,Super Nintendo Entertainment System
Ashita no Joe,1992,K. Amusement Leasing Co.,"Action, Sports",Super Nintendo Entertainment System
A.S.P.: Air Strike Patrol,1994,"SETA Corporation, SETA U.S.A., Inc.",Action,Super Nintendo Entertainment System
Astérix,1993,Infogrames Europe SA,Action,Super Nintendo Entertainment System
Astérix & Obélix,1996,Infogrames Europe SA,Action,Super Nintendo Entertainment System
Astral Bout,1992,King Record Co. Ltd.,Action,Super Nintendo Entertainment System
Astro Go! Go!,1995,Meldac of Japan,"Action, Racing / driving",Super Nintendo Entertainment System
AstroHawk,2013,Piko Interactive LLC,Action,Super Nintendo Entertainment System
Atlas,1995,"Pack-In-Video Co., Ltd","Simulation, Strategy / tactics",Super Nintendo Entertainment System
Axelay,1992,"Konami Co., Ltd., Konami, Inc.",Action,Super Nintendo Entertainment System
Bahamut Lagoon,1996,"Square Co., Ltd.","Role-Playing (RPG), Strategy / tactics",Super Nintendo Entertainment System
Bakumatsu K?rinden: Oni,1996,"Banpresto Co., Ltd.",Role-Playing (RPG),Super Nintendo Entertainment System
Ballz 3D: Fighting at its Ballziest,1994,"Accolade, Inc., Media Rings Corporation",Action,Super Nintendo Entertainment System
Barbie Super Model,1993,"Hi-Tech Expressions, Inc., Playtronic Industrial Ltda.",Action,Super Nintendo Entertainment System
Barbie Vacation Adventure,1994,Hi Tech Entertainment,Sports,Super Nintendo Entertainment System
Barkley: Shut Up and Jam!,1994,"Accolade, Inc., Den'Z, ITC",Sports,Super Nintendo Entertainment System
Bassin's Black Bass,1994,"HOT-B USA, Inc., Starfish Inc.","Simulation, Sports",Super Nintendo Entertainment System
Bass Masters Classic,1995,"Altron Corporation, Malibu Games","Simulation, Sports",Super Nintendo Entertainment System
Bass Masters Classic: Pro Edition,1996,Black Pearl Software,"Simulation, Sports",Super Nintendo Entertainment System
Batman Forever,1995,"Acclaim Entertainment, Inc., Acclaim Japan, Ltd.",Action,Super Nintendo Entertainment System
Batman Returns,1993,"Konami Co., Ltd., Konami (America), Inc.","Action, Racing / driving",Super Nintendo Entertainment System
Battle Blaze,1992,"Sammy Corporation, Sammy USA Corporation",Action,Super Nintendo Entertainment System
Battle Cars,1993,Namco Hometek Inc.,Racing / driving,Super Nintendo Entertainment System
Battle Clash,1992,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH, Playtronic Industrial Ltda.",Action,Super Nintendo Entertainment System
Battle Grand Prix,1992,"Hudson Soft USA, Inc., Naxat Soft",Racing / driving,Super Nintendo Entertainment System
BattleTech: A Game of Armored Combat,1995,"Activision, Inc., ASK Kodansha Co., Ltd.",Action,Super Nintendo Entertainment System
Battletoads / Double Dragon,1993,"Playtronic Industrial Ltda., Tradewest, Inc.",Action,Super Nintendo Entertainment System
Battletoads in Battlemaniacs,1993,"Masaya, Nintendo Co., Ltd., Playtronic Industrial Ltda., Tradewest, Inc.",Action,Super Nintendo Entertainment System
Battle Tycoon,1995,Right Stuff Corp.,Action,Super Nintendo Entertainment System
Bazooka Blitzkrieg,1992,"Bandai America, Inc., Bandai Co., Ltd.",Action,Super Nintendo Entertainment System
Bebe's Kids,1994,Motown Software,Action,Super Nintendo Entertainment System
Beethoven's 2nd,1993,"Hi-Tech Expressions, Inc., Playtronic Industrial Ltda.",Action,Super Nintendo Entertainment System
Best of the Best Championship Karate,1993,"Electro Brain Corp., Electro Brain Corp. Japan, Loriciel SA",Sports,Super Nintendo Entertainment System
Big Sky Trooper,1995,"JVC Musical Industries, Inc.",Action,Super Nintendo Entertainment System
Bike Daisuki! Hashiriya Tamash?: Rider's-Spirits,1994,Masaya,Racing / driving,Super Nintendo Entertainment System
Biker Mice from Mars,1994,"Konami Co., Ltd., Konami (America), Inc.",Racing / driving,Super Nintendo Entertainment System
Bill Laimbeer's Combat Basketball,1991,"Hudson Soft USA, Inc.",Sports,Super Nintendo Entertainment System
Bill Walsh College Football ,1994,"Electronic Arts, Inc.",Sports,Super Nintendo Entertainment System
BioMetal,1993,"Activision, Inc., Athena Co., Ltd.",Action,Super Nintendo Entertainment System
Bish?jo Janshi Suchie-Pai,1993,Jaleco Ltd.,Strategy / tactics,Super Nintendo Entertainment System
Bish?jo Senshi Sailor Moon,1993,"Angel, Bandai S.A.",Action,Super Nintendo Entertainment System
Bish?jo Senshi Sailor Moon: Another Story,1995,"Bandai Co., Ltd.",Role-Playing (RPG),Super Nintendo Entertainment System
Bish?jo Senshi Sailor Moon R,1993,"Bandai Co., Ltd.",Action,Super Nintendo Entertainment System
Bish?jo Senshi Sailor Moon S: J?gai Rant?!? Shuyaku S?datsusen,1994,Angel,Action,Super Nintendo Entertainment System
Bish?jo Senshi Sailor Moon S: Kondo wa Puzzle de Oshioki yo!!,1994,"Bandai Co., Ltd.",Puzzle,Super Nintendo Entertainment System
Bish?jo Senshi Sailor Moon S: Kurukkurin,1995,"Bandai Co., Ltd.","Puzzle, Strategy / tactics",Super Nintendo Entertainment System
Bish?jo Senshi Sailor Moon Super S: Fuwa Fuwa Panic,1995,"Bandai Co., Ltd.",Puzzle,Super Nintendo Entertainment System
Bish?jo Senshi Sailor Moon Super S: Zenin Sanka!! Shuyaku S?datsusen,1996,Angel,Action,Super Nintendo Entertainment System
Blackthorne,1994,"Interplay Productions, Inc., Kotobuki System Co., Ltd.",Action,Super Nintendo Entertainment System
BlaZeon,1992,"Atlus Co., Ltd., Atlus Software Inc.",Action,Super Nintendo Entertainment System
Blitzkrieg: T?bu Sensen 1941~45,1992,Sammy Corporation,"Simulation, Strategy / tactics",Super Nintendo Entertainment System
The Blues Brothers: Jukebox Adventure,1993,"Kotobuki System Co., Ltd., Titus France SA",Action,Super Nintendo Entertainment System
B.O.B.,1993,"Electronic Arts, Inc., Electronic Arts Victor",Action,Super Nintendo Entertainment System
Bombuzal,1990,Kemco,Puzzle,Super Nintendo Entertainment System
Boogerman: A Pick and Flick Adventure,1995,"Interplay Productions, Inc., Interplay Entertainment Corp.",Action,Super Nintendo Entertainment System
Boxing Legends of the Ring,1993,"Electro Brain Corp., Pack-In-Video Co., Ltd, Playtronic Industrial Ltda.",Sports,Super Nintendo Entertainment System
The Brainies,1994,Titus France SA,Puzzle,Super Nintendo Entertainment System
Brain Lord,1994,"Enix America Corporation, Enix Corporation","Action, Role-Playing (RPG)",Super Nintendo Entertainment System
Bram Stoker's Dracula,1993,Sony Imagesoft,Action,Super Nintendo Entertainment System
Brandish,1994,"KOEI Co., Ltd.","Action, Role-Playing (RPG)",Super Nintendo Entertainment System
Brandish 2: The Planet Buster,1995,"KOEI Co., Ltd.","Action, Role-Playing (RPG)",Super Nintendo Entertainment System
Brawl Brothers,1992,"Jaleco Ltd., Jaleco USA, Inc.",Action,Super Nintendo Entertainment System
BreakThru!,1994,"Spectrum Holobyte, Inc.",Puzzle,Super Nintendo Entertainment System
Breath of Fire,1993,"Capcom Co., Ltd., Square Soft, Inc.",Role-Playing (RPG),Super Nintendo Entertainment System
Breath of Fire II,1994,"Capcom Co., Ltd., Capcom Entertainment, Inc., Laguna Videospiele Vertriebs & Marketing GmbH",Role-Playing (RPG),Super Nintendo Entertainment System
Brett Hull Hockey,1994,"Accolade, Inc.",Sports,Super Nintendo Entertainment System
Brett Hull Hockey 95,1994,"Accolade, Inc.",Sports,Super Nintendo Entertainment System
Bronkie The Bronchiasaurus,1994,"Health Hero Network, Inc.","Action, Educational",Super Nintendo Entertainment System
Brunswick World: Tournament of Champions,1997,THQ Inc.,Sports,Super Nintendo Entertainment System
Brutal: Paws of Fury,1994,"Cybersoft, Inc., GameTek, Inc., Kemco",Action,Super Nintendo Entertainment System
BS Fire Emblem Akaneia Senki,1997,St.GIGA,"Compilation, Role-Playing (RPG), Strategy / tactics",Super Nintendo Entertainment System
BS Super Famicom Wars,1998,St.GIGA,Strategy / tactics,Super Nintendo Entertainment System
BS Super Mario Collection,1997,St.GIGA,"Action, Compilation",Super Nintendo Entertainment System
BS Super Mario USA,1996,St.GIGA,Action,Super Nintendo Entertainment System
BS Zelda no Densetsu,1995,St.GIGA,Action,Super Nintendo Entertainment System
BS Zelda no Densetsu: Inishie no Sekiban,1997,St.GIGA,Action,Super Nintendo Entertainment System
Bubsy II,1994,"Accolade, Inc., Telstar Fun and Games",Action,Super Nintendo Entertainment System
Bubsy in: Claws Encounters of the Furred Kind,1993,"Accolade, Inc., Playtronic Industrial Ltda., Poppo Co., Ltd.",Action,Super Nintendo Entertainment System
Bugs Bunny Rabbit Rampage,1994,"Playtronic Industrial Ltda., Sun Corporation, Sun Corporation of America",Action,Super Nintendo Entertainment System
Bulls vs. Blazers and the NBA Playoffs,1992,"Electronic Arts, Inc., Electronic Arts Victor",Sports,Super Nintendo Entertainment System
Burai: Hachigyoku no Y?shi Densetsu,1993,Information Global Service,Role-Playing (RPG),Super Nintendo Entertainment System
Bushi Seiry?den: Futari no Y?sha,1997,"T&E Soft, Inc.",Role-Playing (RPG),Super Nintendo Entertainment System
Bust-A-Move,1995,Taito Corporation,Puzzle,Super Nintendo Entertainment System
Cacoma Knight in Bizyland,1992,"Datam Polystar, SETA U.S.A., Inc.","Action, Puzzle",Super Nintendo Entertainment System
California Games II,1992,"DTMC, Inc., Hect Co. Ltd.",Sports,Super Nintendo Entertainment System
Cal Ripken Jr. Baseball,1992,"Mindscape, Inc.",Sports,Super Nintendo Entertainment System
Cannondale Cup,1994,American Softworks Corporation,Sports,Super Nintendo Entertainment System
Cannon Fodder,1994,Virgin Interactive Entertainment (Europe) Ltd.,"Action, Strategy / tactics",Super Nintendo Entertainment System
Capcom's MVP Football,1992,"Capcom U.S.A., Inc.",Sports,Super Nintendo Entertainment System
Capcom's Soccer Shootout,1994,"Capcom U.S.A., Inc., Epoch Co., Ltd.","Simulation, Sports",Super Nintendo Entertainment System
Captain America and the Avengers,1993,"Mindscape, Inc.",Action,Super Nintendo Entertainment System
Captain Commando,1995,"Capcom Co., Ltd., Capcom U.S.A., Inc.",Action,Super Nintendo Entertainment System
Captain Novolin,1992,raya systems,"Action, Educational",Super Nintendo Entertainment System
Captain Tsubasa V: Hasha no Sh?g? Campione,1994,"Tecmo, Ltd.","Role-Playing (RPG), Sports",Super Nintendo Entertainment System
Caravan Shooting Collection,1995,"Hudson Soft Company, Ltd.","Action, Compilation",Super Nintendo Entertainment System
Carrier Aces,1995,"Cybersoft, Inc., Yumedia","Action, Simulation",Super Nintendo Entertainment System
Casper,1996,"Natsume, Inc.",Action,Super Nintendo Entertainment System
Casper,1997,KSS,Action,Super Nintendo Entertainment System
Castlevania: Dracula X,1995,"Konami Co., Ltd., Konami (America), Inc.",Action,Super Nintendo Entertainment System
Championship Pool,1993,"Imagineer Co., Ltd., Mindscape, Inc.",Sports,Super Nintendo Entertainment System
Championship Soccer '94,1993,Sony Imagesoft,Sports,Super Nintendo Entertainment System
Championship Soccer '94,1994,Sony Imagesoft,Sports,Super Nintendo Entertainment System
Champions World Class Soccer,1994,"Acclaim Entertainment, Inc., Acclaim Japan, Ltd.",Sports,Super Nintendo Entertainment System
Chaos Seed: F?sui Kair?ki,1996,Taito Corporation,"Action, Role-Playing (RPG), Strategy / tactics",Super Nintendo Entertainment System
Chavez,1993,American Softworks Corporation,Sports,Super Nintendo Entertainment System
Chavez II,1994,American Softworks Corporation,Sports,Super Nintendo Entertainment System
The Chessmaster,1992,"Altron Corporation, Mindscape International Ltd.",Strategy / tactics,Super Nintendo Entertainment System
Chester Cheetah: Too Cool to Fool,1992,"Kaneko USA, Ltd.",Action,Super Nintendo Entertainment System
Chester Cheetah: Wild Wild Quest,1994,"Kaneko USA, Ltd.",Action,Super Nintendo Entertainment System
Chibi Maruko-chan: Mezase! Minami no Island!!,1995,"Konami Co., Ltd.",Action,Super Nintendo Entertainment System
Ch? Aniki: Bakuretsu Rant?den,1995,Masaya,Action,Super Nintendo Entertainment System
Ch? Jik? Y?sai Macross: Scrambled Valkyrie,1993,Zamuse,Action,Super Nintendo Entertainment System
Ch? Mah? Tairiku Wozz,1995,"Bullet-Proof Software, Inc.",Role-Playing (RPG),Super Nintendo Entertainment System
Choplifter III: Rescue Survive,1994,"Ocean Software Ltd., Extreme Entertainment Group, Inc., Victor Entertainment Inc.",Action,Super Nintendo Entertainment System
Chrono Trigger,1995,"Square Co., Ltd., Square Soft, Inc.",Role-Playing (RPG),Super Nintendo Entertainment System
Chuck Rock,1992,Sony Imagesoft,Action,Super Nintendo Entertainment System
Clay Fighter,1993,"Interplay Productions, Inc.",Action,Super Nintendo Entertainment System
Clay Fighter 2: Judgement Clay,1994,"Interplay Entertainment Corp., Interplay Productions Ltd.",Action,Super Nintendo Entertainment System
Clay Fighter: Tournament Edition,1994,"Interplay Productions, Inc.",Action,Super Nintendo Entertainment System
Claymates,1993,"Interplay Productions, Inc.",Action,Super Nintendo Entertainment System
Cliffhanger,1993,Sony Imagesoft,Action,Super Nintendo Entertainment System
Clock Tower,1995,"Human Entertainment, Inc.",Adventure,Super Nintendo Entertainment System
ClockWerx,1995,"Tokuma Shoten Publishing Co., Ltd.",Puzzle,Super Nintendo Entertainment System
Clue,1992,Parker Brothers,"Puzzle, Strategy / tactics",Super Nintendo Entertainment System
College Football USA 97,1996,Black Pearl Software,Sports,Super Nintendo Entertainment System
College Slam,1996,"Acclaim Entertainment, Inc.",Sports,Super Nintendo Entertainment System
Columns,1999,"Media Factory, Inc.","Action, Puzzle",Super Nintendo Entertainment System
The Combatribes,1992,"American Technos Inc., Technos Japan Corp.",Action,Super Nintendo Entertainment System
Congo's Caper,1992,"Data East Corporation, Data East USA, Inc.",Action,Super Nintendo Entertainment System
Contra III: The Alien Wars,1992,"Konami Co., Ltd., Konami, Inc.",Action,Super Nintendo Entertainment System
Cool Spot,1993,"Virgin Interactive Entertainment (Europe) Ltd., Virgin Games, Inc., Virgin Interactive Entertainment (Japan), Inc.",Action,Super Nintendo Entertainment System
Cool World,1992,"Ocean of America, Inc.",Action,Super Nintendo Entertainment System
Cosmo Gang: The Puzzle,1993,Namco Limited,Puzzle,Super Nintendo Entertainment System
Cosmo Gang: The Video,1992,Namco Limited,Action,Super Nintendo Entertainment System
Cosmo Police Galivan II: Arrow of Justice,1993,"Nihon Bussan Co., Ltd.",Action,Super Nintendo Entertainment System
Crayon Shin-chan: Arashi o Yobu Enji,1993,"Bandai Co., Ltd.",Action,Super Nintendo Entertainment System
Crystal Beans from Dungeon Explorer,1995,"Hudson Soft Company, Ltd.","Action, Role-Playing (RPG)",Super Nintendo Entertainment System
Cutthroat Island,1996,"LJN, Inc., Playtronic Industrial Ltda.",Action,Super Nintendo Entertainment System
Cyber Knight,1992,Tonkinhouse,Role-Playing (RPG),Super Nintendo Entertainment System
Cyber Knight II: Chiky? Teikoku no Yab?,1994,Tonkinhouse,Role-Playing (RPG),Super Nintendo Entertainment System
Cybernator,1992,"Konami, Inc., Masaya",Action,Super Nintendo Entertainment System
Cyber Spin,1992,"TAKARA Co., Ltd.",Racing / driving,Super Nintendo Entertainment System
Cyborg 009,1994,"Toei Animation Co., Ltd.",Action,Super Nintendo Entertainment System
Daffy Duck: The Marvin Missions,1993,"Playtronic Industrial Ltda., Sun Corporation, Sun Corporation of America",Action,Super Nintendo Entertainment System
Dai-3-ji Super Robot Taisen,1993,"Banpresto Co., Ltd.","Role-Playing (RPG), Strategy / tactics",Super Nintendo Entertainment System
Dai-4-ji Super Robot Taisen,1995,"Banpresto Co., Ltd.",Strategy / tactics,Super Nintendo Entertainment System
Daikaij? Monogatari,1994,"Hudson Soft Company, Ltd.",Role-Playing (RPG),Super Nintendo Entertainment System
Darius Twin,1991,Taito Corporation,Action,Super Nintendo Entertainment System
Dark Half,1996,Enix Corporation,Role-Playing (RPG),Super Nintendo Entertainment System
Dark Kingdom,1994,"Telenet Japan Co., Ltd.",Role-Playing (RPG),Super Nintendo Entertainment System
Dark Law: Meaning of Death,1997,ASCII Corporation,Role-Playing (RPG),Super Nintendo Entertainment System
Data East Classic Collection,2017,Retro-Bit,Compilation,Super Nintendo Entertainment System
David Crane's Amazing Tennis,1992,"Absolute Entertainment, Inc., Pack-In-Video Co., Ltd",Sports,Super Nintendo Entertainment System
Daze Before Christmas,1994,Sun Corporation,Action,Super Nintendo Entertainment System
Deadly Moves,1992,"Kaneko Co., Ltd., Kaneko USA, Ltd.",Action,Super Nintendo Entertainment System
The Death and Return of Superman,1994,Sun Corporation of America,Action,Super Nintendo Entertainment System
Demolition Man,1995,"Acclaim Entertainment, Inc., Virgin Interactive Entertainment, Inc.",Action,Super Nintendo Entertainment System
Demon's Crest,1994,"Capcom Co., Ltd., Capcom U.S.A., Inc., Playtronic Industrial Ltda.",Action,Super Nintendo Entertainment System
Denjinmakai,1994,"Banpresto Co., Ltd.",Action,Super Nintendo Entertainment System
Dennis the Menace,1993,Ocean Software Ltd.,Action,Super Nintendo Entertainment System
Der Langrisser,1995,Masaya,"Role-Playing (RPG), Strategy / tactics",Super Nintendo Entertainment System
Desert Strike: Return to the Gulf,1992,"Electronic Arts, Inc., Electronic Arts Victor",Action,Super Nintendo Entertainment System
D-Force,1991,"Asmik Corporation, Asmik Corp. of America",Action,Super Nintendo Entertainment System
Dharma D?j?,1995,Den'Z,Puzzle,Super Nintendo Entertainment System
Dig & Spike Volleyball,1992,"Hudson Soft USA, Inc., Tonkinhouse",Sports,Super Nintendo Entertainment System
DinoCity,1992,"Irem America Corp., Irem Corp.",Action,Super Nintendo Entertainment System
Dino Dini's Soccer,1994,Virgin Interactive Entertainment (Europe) Ltd.,Sports,Super Nintendo Entertainment System
Dirt Racer,1995,Elite Systems Ltd.,Racing / driving,Super Nintendo Entertainment System
Dirt Trax FX,1995,"Acclaim Entertainment, Inc.",Racing / driving,Super Nintendo Entertainment System
Disney's Aladdin,1993,"Capcom Co., Ltd., Capcom U.S.A., Inc., Playtronic Industrial Ltda.",Action,Super Nintendo Entertainment System
Disney's Beauty and the Beast,1994,"Hudson Soft Company, Ltd., Hudson Soft USA, Inc.",Action,Super Nintendo Entertainment System
Disney's Bonkers,1994,"Capcom Co., Ltd., Capcom U.S.A., Inc.",Action,Super Nintendo Entertainment System
Disney's Goof Troop,1993,"Capcom Co., Ltd., Capcom U.S.A., Inc.",Action,Super Nintendo Entertainment System
Disney's Magical Quest 3 starring Mickey & Donald,1995,"Capcom Co., Ltd.",Action,Super Nintendo Entertainment System
Disney's The Jungle Book,1994,"Virgin Interactive Entertainment (Europe) Ltd., Virgin Interactive Entertainment, Inc., Virgin Interactive Entertainment (Japan), Inc.",Action,Super Nintendo Entertainment System
Disney's Timon & Pumbaa's Jungle Games,1997,THQ Inc.,Action,Super Nintendo Entertainment System
Disney's Toy Story,1995,"Capcom Co., Ltd., Disney Interactive, Inc., Playtronic Industrial Ltda.",Action,Super Nintendo Entertainment System
D?ky?sei 2,1997,"Banpresto Co., Ltd.",Adventure,Super Nintendo Entertainment System
Donkey Kong Country,1994,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH, Playtronic Industrial Ltda.",Action,Super Nintendo Entertainment System
Donkey Kong Country 2: Diddy's Kong Quest,1995,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH, Playtronic Industrial Ltda.",Action,Super Nintendo Entertainment System
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,"Nintendo Co., Ltd., Nintendo of America Inc., Playtronic Industrial Ltda.",Action,Super Nintendo Entertainment System
Donkey Kong Country: Blockbuster World Video Game Championship II,1994,Nintendo of America Inc.,Action,Super Nintendo Entertainment System
DOOM,1996,"Ocean Software Ltd., Imagineer Co., Ltd., Williams Entertainment, Inc.",Action,Super Nintendo Entertainment System
Doomsday Warrior,1992,"Renovation Products, Inc., Shin-Nihon Laser Soft Co., Ltd.",Action,Super Nintendo Entertainment System
Doom Troopers: Mutant Chronicles,1995,"Playmates Interactive Entertainment, Inc.",Action,Super Nintendo Entertainment System
Doraemon 2: Nobita no Toys Land Daib?ken,1993,"Epoch Co., Ltd.",Action,Super Nintendo Entertainment System
Doraemon 3: Nobita to Toki no H?gyoku,1994,"Epoch Co., Ltd.",Action,Super Nintendo Entertainment System
Doraemon 4: Nobita to Tsuki no ?koku,1995,"Epoch Co., Ltd.",Action,Super Nintendo Entertainment System
Doraemon: Nobita to Y?sei no Kuni,1993,"Epoch Co., Ltd.",Action,Super Nintendo Entertainment System
Do Re Mi Fantasy: Milon no DokiDoki Daib?ken,1996,"Hudson Soft Company, Ltd.",Action,Super Nintendo Entertainment System
Dorke and Ymp,2015,Piko Interactive LLC,Action,Super Nintendo Entertainment System
Dossun! Ganseki Battle,1994,I'Max Corp.,Puzzle,Super Nintendo Entertainment System
Double Dragon V: The Shadow Falls,1994,"Tradewest, Inc.",Action,Super Nintendo Entertainment System
Downtown Nekketsu Baseball Monogatari,1993,Technos Japan Corp.,"Action, Sports",Super Nintendo Entertainment System
Dragon Ball Z: Hyper Dimension,1996,"Bandai Co., Ltd.",Action,Super Nintendo Entertainment System
Dragon Ball Z: Super But?den,1993,"Bandai Co., Ltd.",Action,Super Nintendo Entertainment System
Dragon Ball Z: Super But?den 2,1993,"Bandai Co., Ltd.",Action,Super Nintendo Entertainment System
Dragon Ball Z: Super But?den 3,1994,"Bandai Co., Ltd.",Action,Super Nintendo Entertainment System
Dragon Ball Z: Super Gok?den - Kakusei-hen,1995,"Bandai Co., Ltd.",Action,Super Nintendo Entertainment System
Dragon Ball Z: Super Gok?den - Totsugeki-hen,1995,"Bandai Co., Ltd.",Action,Super Nintendo Entertainment System
Dragon Ball Z: Super Saiya Densetsu,1992,"Bandai Co., Ltd.",Role-Playing (RPG),Super Nintendo Entertainment System
Dragon Knight 4,1996,"Banpresto Co., Ltd.","Role-Playing (RPG), Strategy / tactics",Super Nintendo Entertainment System
